File #,DateTime,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Be,MgO,Al2O3,SiO2,P2O5,S,Cl,K2O,CaO,TiO2,V,Cr,MnO,Fe2O3,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Ba,La,Ce,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Cal Check,Ti,Mn,Fe,Sc,Br,I
35,01-01-2006 12:25,051225,253,AMD_01,253,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"6,3079","2,2077","0,3292","34,5712","0,1077","4,5239",0,0,0,"1,0210","8,3143",0,"0,0106","1,3140","0,1731","0,2475",0,"0,0052","0,0289","0,0018","0,0019",0,"0,0040",0,0,0,"0,0561",0,0,0,"0,4010",0,"1,1238",0,"0,1602",0,0,0,0,0,0,0,0,0,0,"0,0036",0,0,0,Passed,0,0,0,0,0,0
36,01-01-2006 12:28,051225,254,AMD_01,254,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"4,6454","1,7411","0,2216","24,3589","0,0152","27,4871",0,0,0,"1,2694","1,1635",0,0,"0,0160","0,0384","0,0057",0,0,"0,0154","0,0018",0,0,0,0,0,0,0,0,0,"0,0229","0,0278",0,"1,8649",0,"0,0759",0,0,0,0,0,0,0,0,0,0,"0,0028",0,0,0,Passed,0,0,0,0,0,0
37,01-01-2006 12:31,051225,255,AMD_01,255,GeoChem,DualMining,"60,0","1,439","0,0","1,4892","0,0","1,4361","0,0",0,0,"0,5678","8,0980","1,5610","0,7519","25,7750","0,0203","4,5267",0,"0,0203","0,0142","4,0081","30,8509",0,0,"0,0228","0,2668","0,0659",0,"0,0030","0,0077",0,0,0,"0,0043",0,0,0,0,0,0,0,"0,0352",0,0,0,"0,0736",0,0,0,0,0,0,0,0,0,0,"0,0080","0,0081",0,0,Passed,0,0,0,0,0,0
38,01-01-2006 12:34,051225,256,AMD_01,256,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"0,9090","13,3804","1,6885","0,1783","25,4385","0,2472","9,6061","0,2452","0,0109",0,"0,4287","6,4361",0,"0,0061","0,0462","0,1069","0,0733",0,"0,0082","0,0142","0,0016","0,0045",0,"0,0334",0,0,0,0,0,0,0,"0,0633",0,"0,5968",0,"0,0746",0,0,0,0,0,0,0,0,0,0,"0,0178",0,0,0,Passed,0,0,0,0,0,0
39,01-01-2006 12:36,051225,257,AMD_01,257,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"6,3967","1,8202","0,1352","25,3613","0,0324","21,5944","0,0162","0,0069",0,"0,4511","3,1452",0,"0,0032","0,3896",0,"0,0356",0,0,"0,0079","0,0052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,0,0,0,0,0,0
40,01-01-2006 12:39,051225,258,AMD_01,258,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"1,6240","13,9547","1,7345","0,1019","24,5943","0,3070","7,1876","0,3021","0,0223",0,"0,4824","7,5440",0,"0,0026","0,0084","0,1640","0,0072",0,"0,0111","0,0153","0,0051","0,0041",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0700",0,0,0,0,0,0,0,"0,0030",0,0,"0,0031",0,0,0,Passed,0,0,0,0,0,0
41,01-01-2006 13:32,051225,259,AMD_01,259,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,0,"1,4894","4,4967","25,1575","0,0176",0,"3,3391",0,0,"0,1097","1,7804",0,"0,0109","0,7303",0,"4,4994","0,0082",0,"0,2366",0,0,0,"0,0038",0,"0,0228",0,"0,1525",0,0,"0,1535","0,3287",0,"14,5028",0,"2,2791",0,0,"0,0182",0,0,0,0,"0,0012",0,0,"0,0856",0,"0,0074",0,Passed,0,0,0,0,0,0
42,01-01-2006 13:38,051225,260,AMD_01,260,GeoChem,DualMining,"60,0",CuNi25Zn15,"0,0",Rg2,"0,0",CuNi30Mn,"0,0",0,0,0,0,"1,4406","10,6283","25,5656",0,0,"0,0360",0,0,"0,8025","0,8008",0,"0,0305","31,9830","0,6782","5,9422","0,0288",0,"0,0017",0,"0,0020",0,0,0,0,0,"0,1815",0,0,"0,0842","5,5453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0738",0,0,0,Passed,0,0,0,0,0,0
43,01-01-2006 13:41,051225,261,AMD_01,261,GeoChem,DualMining,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"24,4945","1,7121","3,4889","25,2959",0,0,0,"0,0052",0,"0,0250","5,0120",0,"0,0044","0,4258","1,5785","0,2875",0,0,0,"0,0018",0,0,0,0,0,0,"10,5580",0,0,"1,8472","0,6518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5982",0,0,0,Passed,0,0,0,0,0,0
44,01-01-2006 13:52,051225,262,AMD_01,262,GeoChem,DualSoil,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,"0,5345","1,7456","1,3002","4,1982","43,6625",0,0,0,0,0,0,0,"0,0443","0,0520","1,8938","0,0257","5,9571","0,0104",0,"0,6593",0,"0,0605",0,0,0,"0,0215",0,"0,1449",0,0,0,"0,3085",0,"29,5472",0,0,0,0,0,0,0,0,0,0,"0,0187",0,"0,4051",0,0,0,Passed,"5,1622",0,"1,1494",0,0,0
45,01-01-2006 13:59,051225,263,AMD_01,263,GeoChem,DualSoil,"60,0",C87600-Si Brs,"0,0",C544-P BrzB2,"0,0",C655-Si BrzA,"0,0",0,0,0,"1,6967","1,5485","10,9753","46,5894",0,0,0,0,0,0,0,"0,0137","0,1608","83,8960","2,6458","10,0827","0,0572",0,"0,0052",0,0,0,0,0,0,0,"0,2167",0,0,0,"5,4033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4460",0,"0,2508",0,Passed,"0,0250","0,3749","0,6528",0,0,0
46,01-01-2006 14:02,051225,264,AMD_01,264,GeoChem,DualSoil,"60,0",No Match,"0,0",0,"0,0",0,"0,0",0,0,0,"26,2830","1,3891","3,0183","36,6373","0,0286",0,0,0,0,0,0,"0,0535","0,0073","0,4409","1,9118","0,2087",0,0,0,0,0,0,"0,0019",0,0,0,"4,5010",0,0,0,"0,2546",0,0,0,"0,1298",0,0,0,0,0,0,0,"0,0329",0,0,"0,9380",0,0,0,Passed,0,"0,0237","2,8169",0,0,0
47,01-01-2006 14:06,051225,265,AMD_01,265,GeoChem,DualSoil,"60,0",C655-Si BrzA,"0,0",Be Cu,"0,0",C110,"0,0",0,0,0,"7,2829","0,4198","21,0605",0,"0,0136","0,8908",0,0,"0,0061",0,0,"0,0560","0,4953","100,0000",0,"0,0445",0,0,0,0,"0,0083",0,"0,0671",0,0,0,"0,1142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0433",0,"0,8708","0,0610",Passed,0,"0,0174","5,3580",0,0,0
48,01-01-2006 14:10,051225,266,AMD_01,266,GeoChem,DualSoil,"60,0",CuSi1,"0,0",CuSi3Mn,"0,0","CuNi1,5Si","0,0",0,0,"0,2863","7,9761","0,3463","20,6612",0,"0,0149","1,0018",0,0,0,0,0,"0,0253","0,3451","100,0000",0,"0,0401",0,0,"0,0047",0,"0,0064",0,"0,0536",0,0,0,"0,0844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0291",0,"0,5654","0,0903",Passed,0,"0,0247","5,4244",0,0,0
49,01-01-2006 14:18,051225,267,AMD_01,267,GeoChem,DualSoil,"60,0",CuSi1,"0,0",CuSi3Mn,"0,0","CuNi1,5Si","0,0",0,0,0,"8,6754","0,4020","20,6787",0,0,"0,5778",0,0,0,0,0,"0,0644","0,4833","100,0000",0,"0,0545",0,0,0,0,"0,0091",0,"0,0698",0,0,0,"0,1433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0562",0,"1,0945","0,1031",Passed,0,"0,0122","5,1769",0,0,0
